Customer_Id,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Credit_Limit(INR),Total_Revolving_Bal,Total_Revolving_Bal(INR),Total_Trans_Amt,Total_Trans_Amt(INR),Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
708082083,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544,303082.88,1661,142048.72,15149,1295542.48,111,0.469,Chip ,Travel,4393.21,0
708083283,Blue,445,1,108,01-01-2023,Week-1,Q1,2023,3421,292563.92,2517,215253.84,992,84835.84,21,0.736,Swipe ,Entertainment,69.44,0
708084558,Blue,140,0,106,01-01-2023,Week-1,Q1,2023,8258,706224.16,1771,151455.92,1447,123747.44,23,0.214,Chip ,Bills,202.58,0
708085458,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,0,0,3940,336948.8,82,0,Online ,Grocery,236.4,0
708086958,Blue,320,1,106,01-01-2023,Week-1,Q1,2023,3128,267506.56,749,64054.48,4369,373636.88,59,0.239,Swipe ,Fuel,1004.87,1
708095133,Blue,100,0,94,01-01-2023,Week-1,Q1,2023,33304,2848158.08,1833,156758.16,1448,123832.96,29,0.055,Swipe ,Bills,275.12,0
708098133,Blue,225,1,75,01-01-2023,Week-1,Q1,2023,2834,242363.68,1418,121267.36,1598,136660.96,39,0.5,Swipe ,Bills,159.8,1
708099183,Blue,400,1,75,01-01-2023,Week-1,Q1,2023,5723,489430.96,1873,160178.96,2732,233640.64,63,0.327,Swipe ,Grocery,409.8,0
708100533,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679,229108.08,2277,194729.04,4943,422725.36,85,0.85,Chip ,Food,988.6,0
708103608,Platinum,95,1,80,01-01-2023,Week-1,Q1,2023,11898,1017516.96,2517,215253.84,15798,1351044.96,128,0.212,Chip ,Grocery,3791.52,0
708104658,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,890,76112.8,2928,250402.56,48,0.619,Swipe ,Fuel,732,0
708108333,Blue,485,0,86,01-01-2023,Week-1,Q1,2023,5590,478056.8,0,0,1507,128878.64,32,0,Swipe ,Entertainment,150.7,0
708112008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510,2010575.2,1049,89710.48,1661,142048.72,35,0.045,Swipe ,Grocery,465.08,0
708113208,Blue,300,1,149,01-01-2023,Week-1,Q1,2023,1688,144357.76,0,0,4375,374150,69,0,Chip ,Fuel,525,0
708117933,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880,160777.6,0,0,2469,211148.88,34,0,Chip ,Bills,419.73,1
708119658,Blue,340,0,44,01-01-2023,Week-1,Q1,2023,12836,1097734.72,1034,88427.68,2519,215424.88,53,0.081,Swipe ,Bills,554.18,0
708121908,Blue,405,0,71,01-01-2023,Week-1,Q1,2023,22917,1959861.84,0,0,2045,174888.4,45,0,Swipe ,Grocery,265.85,0
708123033,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463,980315.76,0,0,14511,1240980.72,105,0,Swipe ,Fuel,3047.31,0
708125733,Blue,220,0,69,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,0,0,4311,368676.72,77,0,Swipe ,Entertainment,1207.08,0
708128733,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814,155133.28,0,0,5014,428797.28,99,0,Swipe ,Entertainment,1303.64,0
708129933,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072,177197.44,1544,132042.88,4210,360039.2,64,0.745,Chip ,Entertainment,884.1,0
708132783,Blue,250,1,92,01-01-2023,Week-1,Q1,2023,16411,1403468.72,1179,100828.08,3929,336008.08,71,0.072,Swipe ,Food,785.8,1
708134283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,3131,267763.12,629,53792.08,1483,126826.16,31,0.201,Swipe ,Food,311.43,0
708136908,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616,223720.32,801,68501.52,4655,398095.6,68,0.306,Swipe ,Entertainment,605.15,0
708139833,Blue,460,0,111,01-01-2023,Week-1,Q1,2023,6391,546558.32,0,0,2323,198662.96,44,0,Swipe ,Grocery,441.37,0
708145908,Blue,320,0,78,01-01-2023,Week-1,Q1,2023,4906,419561.12,2185,186861.2,3999,341994.48,71,0.445,Swipe ,Bills,959.76,0
708147108,Blue,320,0,112,01-01-2023,Week-1,Q1,2023,21084,1803103.68,2517,215253.84,2309,197465.68,71,0.119,Swipe ,Travel,277.08,0
708148158,Blue,175,0,73,01-01-2023,Week-1,Q1,2023,1827,156245.04,0,0,4207,359782.64,86,0,Swipe ,Fuel,925.54,0
708151008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,6250,534500,644,55074.88,2433,208070.16,41,0.103,Swipe ,Fuel,486.6,0
708152358,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512,1583146.24,1664,142305.28,8019,685784.88,57,0.09,Swipe ,Food,721.71,0
708153558,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516,2951808.32,1802,154107.04,7936,678686.72,101,0.052,Swipe ,Fuel,634.88,0
708154833,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,811,69356.72,2336,199774.72,46,0.564,Chip ,Fuel,630.72,0
708155733,Blue,335,0,88,01-01-2023,Week-1,Q1,2023,14734,1260051.68,1634,139739.68,1289,110235.28,23,0.111,Swipe ,Bills,296.47,0
708158133,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031,259211.12,2517,215253.84,2188,187117.76,50,0.83,Swipe ,Bills,350.08,1
708160008,Blue,375,1,96,01-01-2023,Week-1,Q1,2023,34516,2951808.32,1058,90480.16,7412,633874.24,84,0.031,Swipe ,Bills,1927.12,0
708161133,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629,566912.08,1389,118787.28,3891,332758.32,69,0.21,Swipe ,Fuel,466.92,0
708162558,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250,277940,1992,170355.84,1355,115879.6,36,0.613,Swipe ,Entertainment,189.7,1
708163758,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516,2951808.32,638,54561.76,13085,1119029.2,139,0.018,Swipe ,Bills,2355.3,0
708170508,Blue,250,0,72,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,0,0,1651,141193.52,42,0,Swipe ,Entertainment,462.28,0
708171858,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864,159409.28,1081,92447.12,2607,222950.64,44,0.58,Swipe ,Fuel,312.84,0
708173433,Blue,285,0,40,01-01-2023,Week-1,Q1,2023,5645,482760.4,2324,198748.48,2482,212260.64,57,0.412,Swipe ,Food,496.4,0
708174708,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535,473353.2,1276,109123.52,1764,150857.28,38,0.231,Swipe ,Fuel,194.04,0
708176208,Blue,465,1,89,01-01-2023,Week-1,Q1,2023,7268,621559.36,0,0,4199,359098.48,80,0,Swipe ,Food,587.86,0
708177333,Silver,460,1,107,01-01-2023,Week-1,Q1,2023,11261,963040.72,2485,212517.2,1158,99032.16,26,0.221,Swipe ,Bills,243.18,0
708178608,Blue,300,0,111,01-01-2023,Week-1,Q1,2023,2488,212773.76,0,0,4226,361407.52,73,0,Chip ,Grocery,253.56,0
708185208,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178,271782.56,1118,95611.36,2010,171895.2,31,0.352,Swipe ,Bills,180.9,0
708186933,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819,155560.88,725,62002,2254,192762.08,45,0.399,Swipe ,Bills,270.48,0
708190158,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920,249718.4,2426,207471.52,2750,235180,41,0.831,Swipe ,Food,632.5,0
708193008,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480,1238329.6,0,0,1616,138200.32,43,0,Online ,Entertainment,387.84,0
708195633,Silver,110,1,70,01-01-2023,Week-1,Q1,2023,34516,2951808.32,1182,101084.64,2440,208668.8,54,0.034,Online ,Entertainment,488,0
708197358,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543,2612037.36,264,22577.28,7784,665687.68,63,0.009,Online ,Food,622.72,1
708204033,Blue,295,0,86,01-01-2023,Week-1,Q1,2023,2980,254849.6,2093,178993.36,4132,353368.64,70,0.702,Chip ,Travel,826.4,1
708205083,Blue,125,1,151,01-01-2023,Week-1,Q1,2023,1438.3,123003.416,0,0,4815,411778.8,81,0,Chip ,Travel,337.05,1
708207783,Blue,355,1,107,01-01-2023,Week-1,Q1,2023,1477,126313.04,0,0,4680,400233.6,80,0,Swipe ,Entertainment,514.8,1
708208758,Blue,275,1,85,01-01-2023,Week-1,Q1,2023,1826,156159.52,883,75514.16,2199,188058.48,48,0.484,Swipe ,Fuel,571.74,1
708211383,Blue,200,0,111,01-01-2023,Week-1,Q1,2023,2664,227825.28,0,0,3906,334041.12,74,0,Online ,Fuel,1054.62,1
708212658,Blue,190,1,70,01-01-2023,Week-1,Q1,2023,2193,187545.36,1260,107755.2,1799,153850.48,47,0.575,Swipe ,Bills,521.71,1
708216108,Blue,300,1,93,01-01-2023,Week-1,Q1,2023,4088,349605.76,1557,133154.64,2250,192420,39,0.381,Swipe ,Bills,157.5,1
708217758,Blue,475,0,96,01-01-2023,Week-1,Q1,2023,14035,1200273.2,2061,176256.72,1606,137345.12,30,0.147,Swipe ,Bills,385.44,1
708219108,Blue,300,1,95,01-01-2023,Week-1,Q1,2023,9959,851693.68,1143,97749.36,7300,624296,77,0.115,Swipe ,Grocery,803,1
708219858,Blue,390,1,79,01-01-2023,Week-1,Q1,2023,6423,549294.96,0,0,4295,367308.4,70,0,Swipe ,Food,901.95,0
708222558,Blue,125,1,109,01-01-2023,Week-1,Q1,2023,2310,197551.2,1513,129391.76,4191,358414.32,77,0.655,Chip ,Food,712.47,0
708223383,Blue,295,0,81,01-01-2023,Week-1,Q1,2023,11410,975783.2,979,83724.08,2736,233982.72,38,0.086,Chip ,Bills,793.44,0
