Customer Id,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Income(INR),Cust_Satisfaction_Score
708082083,24,F,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326,17302919.52,3
708083283,62,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225,446842,2
708084558,32,F,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235,1217377.2,2
708085458,38,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683,3906810.16,1
708086958,48,M,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279,5069540.08,1
708095133,33,F,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254,1219002.08,3
708098133,34,F,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975,1280662,2
708099183,34,F,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982,2735100.64,2
708100533,48,M,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668,7411847.36,2
708103608,53,F,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196,19087721.92,1
708104658,31,F,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625,2875610,2
708108333,34,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975,1280662,3
708112008,51,F,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975,1280662,2
708113208,36,M,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416,5081256.32,3
708117933,49,F,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122,2404993.44,1
708119658,53,F,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021,2481875.92,1
708121908,49,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632,1764448.64,3
708123033,47,F,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101,14718077.52,2
708125733,43,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168,4889007.36,2
708128733,47,M,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954,7692866.08,2
708129933,34,F,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762,4597726.24,1
708132783,37,F,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476,3889107.52,3
708134283,63,M,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975,1280662,2
708136908,55,M,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878,6232526.56,2
708139833,38,F,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667,2195041.84,3
708145908,40,M,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224,4038596.48,1
708147108,55,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341,2167162.32,2
708148158,33,M,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644,4587634.88,3
708151008,54,F,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423,2345214.96,2
708152358,46,M,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014,9408397.28,2
708153558,44,M,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186,9337586.72,3
708154833,40,F,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835,2209409.2,2
708155733,44,F,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345,970224.4,2
708158133,51,F,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215,1985346.8,2
708160008,60,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581,8858247.12,3
708161133,49,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555,3810343.6,3
708162558,43,F,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381,1058823.12,2
708163758,54,M,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809,10588145.68,1
708170508,32,F,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,1280662,1
708171858,52,F,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586,2615714.72,1
708173433,43,F,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367,2425945.84,3
708174708,49,F,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355,1313159.6,1
708176208,49,F,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428,4569162.56,2
708177333,42,F,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865,672614.8,2
708178608,48,F,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304,4644078.08,1
708185208,47,F,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100,1718952,2
708186933,47,F,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295,2077708.4,1
708190158,47,F,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103,2745448.56,3
708193008,53,F,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975,1280662,2
708195633,47,F,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517,2353253.84,3
708197358,42,M,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887,9226496.24,1
708204033,53,M,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233,4381446.16,1
708205083,54,M,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516,6800208.32,1
708207783,48,M,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959,6324973.68,1
708208758,42,F,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377,1999201.04,2
708211383,44,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883,3838394.16,3
708212658,40,F,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041,1371826.32,2
708216108,58,F,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221,2071379.92,3
708217758,57,F,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975,1280662,3
708219108,38,M,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561,8771016.72,3
708219858,53,F,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697,4848727.44,2
708222558,60,F,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022,4534441.44,3
708223383,51,F,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013,2737751.76,1
708224133,39,M,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192,5318659.84,2
708225483,38,F,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061,4708816.72,2
708226833,50,M,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461,10900464.72,3
708229308,37,M,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839,8623751.28,2
708231183,39,F,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127,2661981.04,2
708234558,62,M,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827,5800565.04,3
708238833,38,F,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994,1111246.88,1
708241233,38,F,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225,446842,1
708242283,44,F,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755,3057767.6,3
708243483,60,F,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156,2065821.12,2
708244458,26,M,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888,3240181.76,3
708245808,41,M,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701,12460349.52,1
708248358,61,F,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885,15982405.2,1
708249708,39,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975,1280662,1
708252108,50,F,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229,4210064.08,2
708253458,45,M,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622,6980313.44,2
708254733,56,M,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152,8137399.04,2
708255633,47,F,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666,3050156.32,2
708260208,48,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686,4933306.72,1
708266883,37,F,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423,2174174.96,3
708267858,33,F,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500,1838680,3
708269583,41,F,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653,4075284.56,3
708271833,48,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680,3222393.6,3
708272808,41,F,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560,3297651.2,2
708273858,39,F,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203,3523680.56,1
708276183,54,F,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975,1280662,2
708281433,40,F,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626,3730895.52,1
708285108,44,M,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861,11276752.72,1
708286683,38,M,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306,7124329.12,2
708288108,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,106900,3
708290208,63,F,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835,2979089.2,2
708291633,54,M,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894,7944294.88,1
708292833,41,F,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170,2751178.4,3
708295533,55,M,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119,865376.88,2
708296883,31,F,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250,705540,1
708298233,44,F,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092,1290667.84,3
708300483,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,106900,1
708301683,40,M,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415,9442690.8,2
708303108,36,M,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574,7403808.48,1
708307533,37,M,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165,4375630.8,2
708313608,59,F,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659,1852277.68,3
708314808,49,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,1280662,3
708316008,43,F,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806,1351729.12,3
708319908,56,M,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230,9939989.6,3
708323208,45,F,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058,2057440.16,1
708324483,63,M,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485,5258197.2,2
708330858,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,106900,3
708331758,42,F,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112,3515898.24,3
708332808,49,F,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923,14275254.96,2
708334158,51,F,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512,2951466.24,2
708337683,27,M,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779,3658460.08,1
708338958,42,M,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334,3620403.68,3
708340758,53,M,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220,9511534.4,2
708341958,48,M,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665,5530150.8,1
708344358,44,F,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638,995281.76,2
708347583,39,F,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112,1377898.24,2
708354858,41,M,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730,9555149.6,1
708355683,46,F,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013,2908791.76,1
708357183,38,F,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164,3263785.28,2
708358683,56,F,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,1280662,1
708360108,40,M,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412,7047874.24,2
708361833,55,F,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861,3408912.72,2
708367908,42,M,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037,5134364.24,3
708369633,47,M,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602,8689003.04,1
708371733,50,M,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281,7378751.12,2
708373083,41,F,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495,1752732.4,2
708375858,45,F,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624,4928004.48,1
708376983,43,F,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828,1866730.56,3
708378108,42,M,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834,6143243.68,1
708382083,35,F,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259,2587749.68,2
708384033,45,F,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037,2397724.24,3
708385533,54,M,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059,10181925.68,2
708386958,42,F,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006,1625393.12,3
708387933,37,M,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306,14136969.12,3
708390633,49,M,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965,4615086.8,1
708393633,36,M,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640,6126652.8,2
708394908,55,F,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818,3918355.36,1
708396033,44,M,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585,10226909.2,1
708397008,45,F,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821,4944851.92,1
708398283,41,F,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775,1092518,3
708399858,45,M,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565,6547838.8,2
708402333,57,M,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127,6681421.04,3
708403308,48,M,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111,5140692.72,2
708404883,49,F,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229,2756224.08,2
708406083,57,M,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876,8199315.52,2
708412758,62,F,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378,1999286.56,2
708414033,45,F,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115,3516154.8,3
708416433,53,F,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601,2445957.52,2
